AUTHOR_ID,AUTHOR_NAME,TITLE ID,TITLE,LANGUAGE,GENRE,NUSHA,NUSHA_META,NUSHA_DATE,NUSHA_DIMENSION,BASKI,BASKI_META,BASKI_PLACE,PUBLISHER,BASKI_DATE,BASKI_DIMENSION,CONTENT_LOCATION,BIBLIOGRAPHY,KEYWORDS
1,ALÎ B ABDURRAHMÂN,,Terceme-i ‘Acâ’ib al-Mahlükât,T,BOOK,YES,"İstanbul Üniversitesi, TY, nr. 524: nesihle 174 yaprak, 22x15(6x13) cm, 15 str. İstinsahı H. 1099’da olmalı.
",H. 1099,22x15(6x13) cm,NO,,,,,,Bursa; Edirne; İstanbul,"Fr. Taechner, “Osmanlılar’da Coğrafya”, TM, II, İstanbul, 1926, s.275; ’ Adıvar, Osmanlı Türkleri’nde İlim, s.29; G. Kut, s.184-185; aynı müellif, ""‘Acâ’ib al-Mahlükât"", DİA, I, 316; Kemal Özdemir, Osmanlı Deniz Haritaları Ali Macar Reis Atlası, ’ İstanbul 1992, s. 28; R. Şeşen, Onbeşinci Yüzyılda Türkçeye Tercümeler, s. 907. Eserin aslı için bkz. KZ, s. 1127-1128; İA, VI, 530; GAL, I, 481, S, I, 882.",Terceme
2,TUNUSLU İBRÂHÎM ALKÂTİBÎ,,Akdeniz Avrupa ve Karadeniz Havzaları Haritası (Portlandı),A,MAP,YES,"Hazine, nr. 1823: 54x88(38x54) cm. Müellif tarafından H. 810 yılında Tunus'ta yapılmıştır. F. Karatay, TY, I, 464-465, nr. 1407
",H. 810,54x88(38x54) cm,NO,,,,,,Nil; Tuna; Akdeniz; Karadeniz ve sahilleri; Atlas Okyanusu kıyılarındaki Avrupa ve Afrika kıyıları; İngiltere; Batı Avrupa; Batı Afrika; Tunus,"F. Karatay, TY, I, 464-465, nr. 1407. İbrahim Hakkı (Konyalı), Topkapı Sarayında Deri Üzerine Yapılmış Eski Haritalar, İstanbul 1936, s. 258-261; The History of Cartography, II, s. 264- 265.",
3,AHMED BÎCAN,,‘Acâ’ib al-Mahlûkât,T,BOOK,YES,"*Reşid Efendi, nr. 69: talikle yap. 1-32, 10,5x31(7,5x15) cm, 32 str. İstinsahı H. 974’te.
*Hacı Beşir Ağa, nr. 656/32: nesihle yap. 152^-159^, 17,5x29,5(11,5x23,5) cm, 35 str. İstinsahı H. 996’da.
*Saliha Hatun, nr. 110/1: nestalikle yap. 1^-94^, 14,5x21(10x15,5) cm, 18 str. İstinsahı H. X. asırda.
*Hüsrev Paşa, nr. 431: talikle 47 yaprak, 12x19(6x13,2) cm, 21 str. Terceme-i Acâ’ib al-Mahlûkât. Müellif çeşitli kitaplardan, kendi hatıralarından faydalanarak yazmıştır. Tashih görmüş istinsahı H. X. asırda. 
*Vatican, Berg, nr. 27: nesihle 40 yaprak, 15x20,5 cm, 19 str. İstinsahı H. 1022’de. Katalog, s. 346.
*Antalya, Tekelioğlu, nr. 775: nesihle 81 yaprak, 14,5x20 (9,5x14) cm, 11 str. İstinsahı H. 1023’te.
*Wien, nr.1453: taTikle 59 yaprak. İstinsahı Safer 1025’te. G. Flugel, Di e arabischen...türkischen Handsch....., II, 520-521.
*Milli Kütüphane, A. 3028/1: nesihle yap. 1-79, 18,5x12,5(12,5x8) cm, 13 str. İstinsahı Şeyh-zâde Mehmed Harpütî tarafından H. 1028'de. MKAHYK, I, 12.
*Yapı Kredi, Sermet Çifter, nr. 808: divani ile 174 yaprak. İstinsahı Sulaymân b. İbrahim tarafından 29 Rebiülahir 1061'de.
*Yazma Bağışlar, nr. 2004: nesihle 28 yaprak, 14x20,5 (8,7x15) cm, 27 str. îstinsahı H. 1063’de.
*Vatican, TY, nr. 269: 69 yaprak, 14x20 cm, 21 str. İstinsahı Şaban 1065'te. E. Rossi, TY, s. 233.
*Berlin, nr. 177: nesihle 84 yaprak, 25x17 cm, 15 str. İstinsahı H. 1065'te. W. Pertsch, s. 197-198.
^Kemankeş, nr. 402/1: talikle yap. lb-23a, 14,5x20 cm. İstinsahı H. 1092’de. 
*Hacı Mahmud, nr. 5392: talikle 88 yaprak, 13,5x20,5 (8,6x13,5) cm, 13 str. İstinsahı Zilhicce 109 9’da.
*British Museum, nr. 4088: 73 yaprak, 13 str. İstinsahı H. XI. asırda. De Slane, Cat., s. 106-107.
^İstanbul Üniversitesi, TY, nr. 6806/2: divani ile yap. 7b-46b, 12,7x18,4(9,5x15,2) cm, 15 str. Sonu eksik. İstinsahı H. XI. asırda.
*Laleli, nr. 3722/1: divani ile yap. lb-22b, 15x20,8(11,4x16) cm, 17 str. İstinsahı H. XI. asırda.
*Hacı Mahmud, nr. 4899/2: talikle yap. 32b-62b, 14,7x21,7(8,8x14,4) cm, 17 str. İstinsahı H. XI. asırda.
*Tahir Ağa, nr. 335/2: divani ile yap. 17b-52a, 14,5x20,5(10,5x16,2) cm, 19 str. İstinsahı H.XI. asırda.
*İzmir Milli, nr. 50/52-2: nesihle yap. 59b-97b, 12x19 (7x12) cm. İstinsahı H. XI. asırda. *İzmir nr. 740: divani ile 65 yaprak, 15x20,5 (9x16) cm, 13 str. İstinsahı 11 Receb 1125’te. ^İstanbul Üniversitesi, TY, nr. 6797: nesihle 51 yaprak, 14,5x19,8(7,8x14) cm, 15 str. İstinsahı Cemaziyelevvel 1126’da.
*Yazma Bağışlar, nr.2343: nesihle 38 yaprak, 14,6x20,3(8,5x12,5) cm, 13 str. İstinsahı H. 1158’de.
*İstanbul Üniversitesi, TY, nr. 6764: nesihle 45 yaprak, 14,5x21(9x15,5) cm. İstinsahı Hamza b. ‘Alî al-‘Acul tarafından H. 1184’te.
*Sermet Çifter, nr. 111: nesih ile 111 yaprak. İstinsahı H. XII. asırda.
*Beyazit Umumi, nr. 8048: nesihle yap. 38b-76a, 14x20,5 cm, sonu eksik. İstinsahı H. XII. asırda.
*Muallim Cevdet, nr. K. 370: nesihle 104 yaprak, 15x10(9,6x6,5)cm, 8 str. İstinsahı H. XII. asırda.
*Beyazit Umumi, nr. 5498: nesihle 93 yaprak, 8x14(6x10) cm, 11 str. İstinsahı H. XII. asırda. *Sarejovo, nr. 5872: nesihle 54 yaprak, 20,5x14 cm. İstinsahı H. XII. asırda Katalog, s. 439. *Yazma Bağışlar nr. 2343: nesihle 38 yaprak, 15x21(9,5x15) cm, 21 str. İstinsahı H. 1202’de.
*Sadberk Hanım, nr. yaz. 479: nesihle 216 yaprak, 20,5x18,5(13x7,5) cm, 15 str. İstinsahı 1206/1792'de ‘Omar b. ‘Osman b. İbrahim tarafından. Hurşid Ahmed'in temellük kaydını taşımaktadır. Sadberk Hanım Müzesi Kütübhanesi Yazma Eserler Katalogu, nr. 587.
*Kahire Üniversitesi, Türkl, nr. 3199: harekeli nesihle 146 yaprak 12,5x21,5 cm, 19 str. Hafız Mustafâ b. al-Hâcc Ahmed tarafından H. 1231'de istinsah edilmiştir.
*İzmir, nr. 739: nesih ve rika ile 42 yaprak, 14x19(7x15) cm, 17 str. İstinsahı 25 Cemaziyelevvel 1232’de.
*Berlin, Ms. or. oct. nr. 2726: talikle Teil ",H. 974; H. 996; H. 1022; H. 1023; H. 1028; H. 1063; H. 1065; H. 1092; H. 1158; H. 1184; H. 1202; H. 1231; 1206/1792; H. X; H. X; H. XI; H. XI; H. XI; H. XI; H. XI; H. XII; H. XII; H. XII; H. XII; H. XII; Safer 1025; Rebiülahir 1061; Şaban 1065; Zilhicce 109; Receb 1125; Cemaziyelevvel 1126; Cemaziyelevvel 1232; 3028,"10,5x31(7,5x15) cm; 17,5x29,5(11,5x23,5) cm; 14,5x21(10x15,5) cm; 12x19(6x13,2) cm; 15x20,5 cm; 18,5x12,5(12,5x8) cm; 14x20 cm; 25x17 cm; 14,5x20 cm; 12,7x18,4(9,5x15,2) cm; 15x20,8(11,4x16) cm; 14,7x21,7(8,8x14,4) cm; 14,5x20,5(10,5x16,2) cm; 14,5x19,8(7,8x14) cm; 14,6x20,3(8,5x12,5) cm; 14,5x21(9x15,5) cm; 14x20,5 cm; 15x10(9,6x6,5)cm; 8x14(6x10) cm; 20,5x14 cm; 15x21(9,5x15) cm; 20,5x18,5(13x7,5) cm; 12,5x21,5 cm; 14x19(7x15) cm",NO,,,,,,,"ŞN, s. 111; Mecdi, s. 128; OM, I, 16; Franz Taeschner, ‘Die Geographische Literatür der Osmanen’, ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", El?, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed Bîcan"", DİA, II, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, II, 52.",
3,AHMED BÎCAN,,Dürr-i Meknun,T,,YES,"*Hazine, nr. 427: talikle 130 yaprak, 9x15 cm, 19 str. İstinsahı H. 1007’de. F. Karatay, TY, nr. 1322.
*Hacı Mahmud Efendi, nr. 1900: talikle 118 yaprak, 19,5x11,5(13,5x6,5) cm, 17 str. İstinsahı H. 1030’da.
*Raşid Efendi, nr. 1328: 102 yaprak, 23,5x13,5(13x7) cm, 19 str. İstinsahı H. 1034'te. Katalog, s. 15.
*Bibliotheque Nationale, nr.206: talikle 133 yaprak, 14x22,5 cm. İstinsahı H. 1040’ta. E. Blochet, Cat, I, 261-262.
*Koğuşlar, nr. 919: nesihle 88 yaprak, 19x29 cm, 25 str. İstinsahı ‘Abduşşamad b. ‘Alî b. Muhammed tarafından H. 1042 yılında İstanbul’da. F. Karatay, TY, nr. 1323.
*Hazine, nr. 426: talikle 144 yaprak, 14,5x20 cm, 15 str. İstinsahı H. 1045’de. F. Karatay, TY, nr. 1325.
*Nuruosmaniye, nr. 3022: nesihle 199 yaprak, 14,7x20,1 (9,2x15,8) cm, 17 str. İstinsahı H. 1061’de.
*Berlin, nr. 178: nesihle 180 yaprak, 19,5x12,5 cm, 15 str. İstinsahı 29 Safer 1063'te Muharrem b. Mustafa tarafından: W. Pertsch, s. 198-199.
*Wien nr. 1450: nesihle 107 yaprak, 19 str. istinsahı Rebiülevvel 1066’da. Flügel, Die arabischen.......turkischen zu Wien, 1865, II, 518.
*İstanbul Üniversitesi, TY, nr. 6741: nesihle 135 yaprak, 14x20(9x15) cm, 15 str. İstinsahı Rebiülahir 1067’de.
*İstanbul Üniversitesi, TY, nr. 6785: 73 yaprak, 13,5x19,5(9,3x16,2) cm, 21 str. İstinsahı Şevval 1073’de.
*Milli Kütüphane, AY, nr. 770: nesihle 141 yaprak, 15,2x20,6(9,6x14,2) cm, 13 str. İstinsahı Şaban 1077’de. Milli Kütüphane Yazmalar Kat, I, 14.
*İzmir, nr. 419: nesihle 91 yaprak, 20,5x14 (15,5x8) cm, 23 str. İstinsahı H. 1077’de.
*British Museum, Add., nr. 7895: nesihle 114 yaprak, 19 str. İstinsahı H. 1078’de. Cat. of the Turkish Mss. in the Brit. Mus. s. 105-106.
*Pertevniyal, nr.456, nesihle 162 yaprak, 20x14,5(15x9,5) cm, 15 str. İstinsahı H. 1092’de.
*Berlin, Ms. or. oct., nr. 1886: nesihle 169 yaprak, 14x20,5(9,5x15,5) cm, İstinsahı
Kayyumzâde Mustafa Çelebi tarafından 22 Zilkade 1093’de Belgrad’da. Götz, nr. 333
*Saliha Hatun, nr. 112/1: nestalikle yap. l^-87a, 21x15(15,5x10) cm, 19 str. İstinsahı Muharrem 1098'de.
*Bibliotheque Nationale, nr. 214: nesihle 143 yaprak, 15x21,5 cm. İstinsahı H. XI. asırda, Blochet, Cat., I, 265.
*Reşid Efendi, nr. 785: nesihle 114 yaprak, 10,5x18,5(6,5x14) cm, 19 str. İstinsahı H. XI. asır başları.
*Afyon, Gedik Ahmed nr.17170: İstinsahı H. 1122, TÜYATOK, s.8
*İstanbul Üniversitesi, TY, nr. 2249: talikle 196 yaprak, 11,8x20,5(7x15) cm, 19 str. İstinsahı Cemaziyelahir 1125’de.
*Vatican, TY, nr. 305: nesihle 119 yaprak, 19,5x12,5 cm, 17 str. İstinsahı H. 1133'te. E. Rossi, TY, s. 298.
*İstanbul Üniversitesi, TY, nr. 5874: nesihle 139 yaprak, 13x19,8(9,5x16,1) cm, 17 str. İstinsahı H. 1143’de.
*Fatih, nr. 2615: nesihle 89 yaprak, 20,3x14,8(16,9xbb) cm. İstinsahı H. 1149’da.
*Serez nr. 1641: 74 yaprak, 22x16,6(bbxbb) cm. bb. str. İstinsahı H. 1164’te (Baş tarafı eksiktir).
*Revan Köşkü, nr. 1656: talikle 144 yaprak, 11,4x18,4 cm, 15 str. İstinsahı H. 1168’de. F. Karatay, TY, nr. 1324.
*İstanbul Üniversitesi, TY, nr. 6695: nesihle 150 yaprak, 12,7x19,3(7,6x14,2) cm, 19 str. İstinsahı Cemaziyelevvel 1177’de.
*Pertevniyal, nr. 454: talikle 56 yaprak, 19,3x13(15,5x8,2) cm, 23 str. İstinsahı H. 1186’da. ^İstanbul Üniversitesi, TY, nr. 2337: nesihle 120 yaprak, 9x16(4,7x15) cm, 25 str. İstinsahı H. XII. asırda. Yap. la'da 14 Safer 1149 kaydı var.
*İstanbul Üniversitesi, TY, nr. 6702: nesihle 204 yaprak, 12x17,8(7x12,5) cm, 13 str. İstinsahı Cemaziyelahir 1210’da.
*Mevlana Müzesi, nr. 1059: nesihle 117 yaprak, 15,5x23,8(12,3x17,8) cm, 15 str. İstinsahı H. 1233’te, Abdülbaki Gölpınarlı, Mevlana Müzesi Yazmalar Kat, nr. 1642.
*Milli Kütüphane, AY, nr. 4388/1: nesihle yap. lb-251b, 14,5x21(10,5x15,5) cm, 15 str. İstinsahı 15 Receb 1236’da.
*İstanbul Üniversitesi, TY, nr. 846: nesihle 110 yaprak, 11,5x17,6(5,8x11,5) cm, 15 str. İstinsahı H. 1254’te.
*İstanbul Üniversitesi, TY, nr, 6742: nesihle 125 yaprak, 14,4x22,5(9x17) cm, 17 str, İstinsahı H. 1260’ta.
*Berlin, Ms. Or . Oct. 2777: nesihle 92 yaprak, 23x14(15x7) cm, 21 str. İstinsahı Haşan al-Halvati Tilmizi M. Râsı tarafından 20 Şaban 1262'de. Sohrweide, III, 165-166.
*Hacı Mahmud Efendi, nr. 1856: nesihle 102 yaprak, 19x11 (15x7,5) cm, 19 str. İstinsahı H. 1273’te.
*İstanbul Üniversitesi, TY, nr, 6743: nesihle 134 yaprak, 13,5x18,8(9,5x14,8) cm, 15 str. İstinsahı H. 1287’de.
*Pertevniyal, nr. 455: rika ile 137 yaprak, 19,3x14,5(12x8) cm, 15 str. İstinsahı H. XIII. asır sonları.
*Kahire Üniversitesi, Türkî, nr. 6982: nesihle 245 yaprak, 9x17 cm, 25 str.
*Berlin, Ms.or. oct., nr. 2530: nesihle 134 yaprak, 15x21,5(11x17) cm. Götz, nr. 334.
*Elmalı, nr. 2941/2: nesihle yap. 27b-32a, 16,5x22,8(11x18) cm, 20 str. TÜYATOK, III, 121-122.
*Bosnian Institute, nr. 544 Ms.119: 76 yaprak, 16x22,5 cm, 21 str. Cat. of Arabic-Persian-Turkish Ms. Bosnian..., Zürich 1997,1, 323-324.
*B. Flemming, Hs. Or. Oct. 922/2: yap. 133b-232a. Katalog, I, 237.
*Koyunoğlu, nr.10204: nesihle 110 yaprak, 22x12,5 cm, 19 str. Koyunoğlu Kataloğu, s. 14.
*Koyunoğlu, nr. 10962: nesihle 127 yaprak, 20,6x15,5 cm, 15 str. İstinsahı Abdülhalîm b. İbrahim tarafından. Koyunoğlu Kataloğu, s. 14.
*Milli Kütüphane, AY, nr. 2676: talik ve nesihle 90 yaprak, 12x20,5(7x16) cm, 23 str. Milli Kütüphane Yazmalar Kat., 1, 15.
*Milli Kütüphane, AY, nr.2757: talikle 84 yaprak, 14,3x20(6,7x15,2) cm, 23 str. Milli Kütüphane Yazmalar Kat., I, 16.
*Osman Huldi Öztürkler, nr. 52/1: nesihle 1^-167^* yaprak, 20x15 (15x10,5) cm, 13 str. *Wienne, nr. 1450: nesihle 107 yaprak, 7,5x5,5 cm, 19 str. Flugel, II, 519-520.
*Karaman, nr. 1150/6: yap. 80^-147^, Ali Berberoğlu, Karaman Yazmaları Kataloğu, s. 10. *Sohrweide, s.147-148: Ms. Or. quart nr. 1988/30: yap. 510^-523a.
*Berlin, nr.180: nesihle 113 yaprak, 22x15 cm, 15 str. W. Pertsch, s.",H. 1007; H. 1030; H. 1034; H. 1040; H. 1042; H. 1045; H. 1061; H. 1077; H. 1078; H. 1092; H. 1122; H. 1133; H. 1143; H. 1149; H. 1164; H. 1168; H. 1186; H. 1233; H. 1254; H. 1260; H. 1273; H. 1287; H. XI; H. XI; H. XII; H. XIII; Safer 1063; Rebiülevvel 1066; Rebiülahir 1067; Şevval 1073; Şaban 1077; Zilkade 1093; Muharrem 1098; Cemaziyelahir 1125; Cemaziyelevvel 1177; Safer 1149; Cemaziyelahir 1210; Receb 1236; Şaban 1262; 1865; 2777; 1997,"9x15 cm; 19,5x11,5(13,5x6,5) cm; 23,5x13,5(13x7) cm; 14x22,5 cm; 19x29 cm; 14,5x20 cm; 19,5x12,5 cm; 14x20(9x15) cm; 13,5x19,5(9,3x16,2) cm; 15,2x20,6(9,6x14,2) cm; 20x14,5(15x9,5) cm; 14x20,5(9,5x15,5) cm; 21x15(15,5x10) cm; 15x21,5 cm; 10,5x18,5(6,5x14) cm; 11,8x20,5(7x15) cm; 19,5x12,5 cm; 13x19,8(9,5x16,1) cm; 11,4x18,4 cm; 12,7x19,3(7,6x14,2) cm; 19,3x13(15,5x8,2) cm; 9x16(4,7x15) cm; 12x17,8(7x12,5) cm; 15,5x23,8(12,3x17,8) cm; 14,5x21(10,5x15,5) cm; 11,5x17,6(5,8x11,5) cm; 14,4x22,5(9x17) cm; 23x14(15x7) cm; 13,5x18,8(9,5x14,8) cm; 19,3x14,5(12x8) cm; 9x17 cm; 15x21,5(11x17) cm; 16,5x22,8(11x18) cm; 16x22,5 cm; 22x12,5 cm; 20,6x15,5 cm; 12x20,5(7x16) cm; 14,3x20(6,7x15,2) cm; 7,5x5,5 cm; 22x15 cm",NO,,,,,,Adalar,"ŞN, s. 111; Mecdi, s. 128; OM, I, 16; Franz Taeschner, ‘Die Geographische Literatür der Osmanen’, ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", El?, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed Bîcan"", DİA, II, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, II, 52.",
4,ÎBRÂHÎM ALMURSÎ,,Mursiyeli İbrahim'in 1461 Tarihli Haritası,A,MAP,YES,"
*Deniz Müzesi, İnolu ana envanter defteri, nr.882'de kayıtlı bulunan bu harita 90x53(89x48) cm. ebadında. Haritanın etrafında 1 cm. genişliğinde motiflerle süslü bir bordür vardır.",H. 845; M. 1461,,,,,,,,,,
5,AMÎRUTZES VE OĞLU MEHMED,,Batlamyus Coğrafyası Tercümesi,A,,YES,"*Ayasofya, nr. 2610: nesihle 129 yaprak, 12x17,2(8x12,7) cm, haritaları mükemmel. Fatih devrinde istinsah edilmiş orjinal nüshadır.",,"12x17,2(8x12,7) cm",NO,,,,,,Vatican,"KZ, s.590; H. Ritter, “Rezension zu Bibliothek Arabischer Historiker und Geographen herausgegeben von Hans v. Mzik”, Der İslam, XIX, 1931, s.53-54; Adıvar, s.34-36, bilhassa 2. not; J. H. Kramers, ""Coğrafya"", İA, III, 205-206; DSB, XI, 186-206; Bagrow, Leo,“A Tale from the Bosphorus”, Imago Mundî, XII, 1955, s. 26-27; Dünden Bugüne İstanbul Ansiklopedisi, I, 246-247; DİA ,VIII, 63.",
5,AMÎRUTZES VE OĞLU MEHMED,,"
*Ayasofya, nr. 2596: nesihle 75 yaprak, 28x39,5(19,5x25) cm. Haritaları eksik. İstinsahı H. XI. asırda.
",,,,,,,,,,,,,,,
6,RUKNUDDDÎN AHMED,,‘Acâ’ib al-Mahlükât Tercümesi,T,,YES,"*Ali Emiri, Türki-Tarih, nr. 897: nesihle 324 yaprak, 17,2x24,8(13,8x21) cm, 17 str.
İstinsahı ‘Alâuddîn b. ‘Abdulkarîm tarafından H. 852'de Yenişehir'de.
*Nuri Arlasez, nr.128: nesihle 403 yaprak, 19x28,8(12,8x21,1) cm, 15 str. İstinsahı Muhammed b. Muhammed tarafından H. 1103 'te.
*Bibliotheque Nationale, TY, nr.1338: nesihle 266 yaprak, 20,5x30 cm. İstinsahı H. XII. asırda, E. Blochet, Cat. des Mss. turcs, II, 238 nr.1339; Süleymaniye mikrofilm arşivi nr.3234. *Düğümlü Baba, nr.556: nesihle 164 yaprak, 14,5x20,5(9x14,5) cm, 15 str. İstinsahı H. XII. asırda.
*Beyazıt Umumi, nr.14124: nesihle 404 yaprak, 16,5x23,5 cm. 17 str. İstinsahı ‘Osman b. Şâlih tarafından H. 1262'de.
",H. 852; H. 1103; H. 1262; H. XII; H. XII,"17,2x24,8(13,8x21) cm; 19x28,8(12,8x21,1) cm; 20,5x30 cm; 14,5x20,5(9x14,5) cm; 16,5x23,5 cm",NO,,,,,,,"Adıvar, s.29; Uzunçarşılı, Osmanlı Tarihi, Ankara 1972, II, 537; Blochet, II, 139; G. Kut, aynı makale, s. 188-190; DÎA, I, 316-317; Şeşen, aynı yer.",
7,ALİ EKBER HITÂÎ,,Hıtây-nâme,F,,YES,"*Aşir Efendi, nr.249, talikle, 125 yap. 15x21,2(8x12) cm, 11 str. 
*Leiden, nr. 919, III, s.",,"15x21,2(8x12) cm",NO,,,,,,Çin; Moğolistan,"P. Kahle, “Eine Islamische Quelle uber China um 1500 (das Chitay-name des 'Ali Ekber)”,Oostersch Genoots. In Nederland, 7 de Cong., 1933 s.21-22; aynı müellif, ""İslamichen Quellen zum Chinesischen Porzellan"", ZDMG, 1934, 99, s. 35 vd.; aynı müellif, “Eine Islamische Quelle uber China um 1500 (Das Khitayname des 'Ali Ekber.)”, Açta Orientalia, 12 (1934) s. 91-110; aynı müellif, ""Türk Coğrafyacılarının Tasvirine Göre Çin"",+’ İslam Tedkikleri Enstitüsü Dergisi, c. II, cüz. 1, İstanbul 1957, s. 96-97; İA, I, 318-319; Storey, Persian Literatüre, I, 1970-1977, s. 431-432,; Meydan Larousse, I, 316; Büyük Larousse, I, 381; İsmail Aka, ""Hıtay Sefaretnamesi"", Belleten L/197(1986), s. 603-605; DİA, VIII, 63; A-Kemal Özdemir, aynı eser, s. 28.",
7,ALİ EKBER HITÂÎ,,"*Ayasofya, nr. 3188: talikle 155 yaprak, 12,5x19(7,5x11,1) cm, 12 str. Sultani güzel bir
nüshadır. Kanuni Sultan Süleyman mukaddimede medh edilir. 
*Esad Efendi, nr. 1852: talikle 119 yaprak, 11x17,5(6,5x12,5) cm, 13 str. 
*Berlin, nr. 183: nestalikle 85 yaprak, 21x12 cm, 117 str. W. Pertsch, s. 200-203.
*Dresden, nr. 71: İstinsahı 1081/1670.
*Tübingen, Ms. Or. Quart 898: nestalikle 123 yaprak, 22x15(16,5x8,5) cm, 11 str. İstinsahı Mehmed Mukîm al-Resmı al-Üsküdârî tarafından 9 Rebi'ülevvel 1252'de. B. Flemming, I, 241-242.
*Sohrweide, s. 149-150: Ms. Or. Quart, nr. 1988/6 yap. 264a-302b.
",,,,,,,,,,,,,,,
